"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
"London politics: News, comment and analysis about the mayor, the London assembly and the Greater London authority | Politics | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 13:21:18","http://web.archive.org/web/20130102132118/http://www.guardian.co.uk/politics/london","20130102132118","http://www.guardian.co.uk/politics/london" 
"The Guardian newspaper: Editorials & reply | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 13:35:37","http://web.archive.org/web/20130102133537/http://www.guardian.co.uk/theguardian/mainsection/editorialsandreply/rss","20130102133537","http://www.guardian.co.uk/theguardian/mainsection/editorialsandreply/rss" 
"Politics: Education policy | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 13:36:29","http://web.archive.org/web/20130102133629/http://www.guardian.co.uk/politics/education/rss","20130102133629","http://www.guardian.co.uk/politics/education/rss" 
"Society: Communities | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 14:01:55","http://web.archive.org/web/20130102140155/http://www.guardian.co.uk/society/communities/rss","20130102140155","http://www.guardian.co.uk/society/communities/rss" 
"Guardian Small Business Network: Winning new business | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 14:08:23","http://web.archive.org/web/20130102140823/http://www.guardian.co.uk/small-business-network/winning-new-business/rss","20130102140823","http://www.guardian.co.uk/small-business-network/winning-new-business/rss" 
"Culture: Sam Mendes | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 14:35:10","http://web.archive.org/web/20130102143510/http://www.guardian.co.uk/culture/sam-mendes/rss","20130102143510","http://www.guardian.co.uk/culture/sam-mendes/rss" 
"London | UK news | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 15:16:52","http://web.archive.org/web/20130102151652/http://www.guardian.co.uk/uk/london","20130102151652","http://www.guardian.co.uk/uk/london" 
"Education: Teaching | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 15:42:32","http://web.archive.org/web/20130102154232/http://www.guardian.co.uk/education/teaching/rss","20130102154232","http://www.guardian.co.uk/education/teaching/rss" 
"Olympics & the media | Media | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 16:02:09","http://web.archive.org/web/20130102160209/http://www.guardian.co.uk/media/olympicsandthemedia","20130102160209","http://www.guardian.co.uk/media/olympicsandthemedia" 
"Fitness news, comment and advice | Life and style | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 16:02:36","http://web.archive.org/web/20130102160236/http://www.guardian.co.uk/lifeandstyle/fitness","20130102160236","http://www.guardian.co.uk/lifeandstyle/fitness" 
"The Guardian newspaper: Editorials & reply | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 16:40:41","http://web.archive.org/web/20130102164041/http://www.guardian.co.uk/theguardian/mainsection/editorialsandreply/rss","20130102164041","http://www.guardian.co.uk/theguardian/mainsection/editorialsandreply/rss" 
