source,target,type
b3_02,Q6197,undirected
b3_02,Q188646,undirected
b3_02,Q433463,undirected
b3_02,Q175942,undirected
b3_02,Q175942,undirected
b3_02,Q193769,undirected
b3_02,Q2054,undirected
b3_02,Q913,undirected
b3_02,Q913,undirected
b3_02,Q913,undirected
b3_02,Q913,undirected
b3_02,Q8462,undirected
b3_02,Q11768,undirected
b3_02,Q676745,undirected
b3_02,Q18869,undirected
b3_02,Q191085,undirected
b3_02,Q849324,undirected
b3_03,Q868,undirected
b3_03,Q180081,undirected
b3_03,Q1541,undirected
b3_03,Q1541,undirected
b3_03,Q209644,undirected
b3_03,Q127351894,undirected
b3_03,Q6197,undirected
b3_03,Q312735,undirected
b3_03,Q193800,undirected
b3_03,Q310164,undirected
b3_03,Q7198,undirected
b3_03,Q859,undirected
b3_03,Q859,undirected
b3_03,Q859,undirected
b3_03,Q41523,undirected
b3_03,Q2054,undirected
b3_03,Q2054,undirected
b3_03,Q2054,undirected
b3_03,Q913,undirected
b3_03,Q2161,undirected
b3_03,Q9438,undirected
b3_03,Q1407,undirected
b3_03,Q2039,undirected
b3_03,Q47652,undirected
b3_03,Q47652,undirected
b3_03,Q47652,undirected
b3_03,Q1075988,undirected
b3_04,Q187982,undirected
b3_04,Q184874,undirected
b3_04,Q2709649,undirected
b3_04,Q190323,undirected
b3_04,Q182483,undirected
b3_04,Q163079,undirected
b3_04,Q151120,undirected
b3_04,Q211411,undirected
b3_04,Q1541,undirected
b3_04,Q1541,undirected
b3_04,Q1541,undirected
b3_04,Q1541,undirected
b3_04,Q310149,undirected
b3_04,Q905162,undirected
b3_04,Q905162,undirected
b3_04,Q190436,undirected
b3_04,Q43216,undirected
b3_04,Q43216,undirected
b3_04,Q10291570,undirected
b3_04,Q437876,undirected
b3_04,Q7515976,undirected
b3_04,Q7515976,undirected
b3_04,Q1048,undirected
b3_04,Q193800,undirected
b3_04,Q1713818,undirected
b3_04,Q47154,undirected
b3_04,Q47154,undirected
b3_04,Q47154,undirected
b3_04,Q47154,undirected
b3_04,Q308398,undirected
b3_04,Q1413,undirected
b3_04,Q7198,undirected
b3_04,Q80398,undirected
b3_04,Q332785,undirected
b3_04,personb30401,undirected
b3_04,Q41523,undirected
b3_04,Q553856,undirected
b3_04,Q83160,undirected
b3_04,Q8827,undirected
b3_04,Q39576,undirected
b3_04,Q193769,undirected
b3_04,Q913,undirected
b3_04,Q7631930,undirected
b3_04,Q135013681,undirected
b3_04,Q135013681,undirected
b3_04,Q135013681,undirected
b3_04,Q135013681,undirected
b3_04,Q1398,undirected
b3_04,Q1398,undirected
b3_04,Q129772,undirected
b3_04,Q129772,undirected
b3_04,Q171303,undirected
b3_04,Q389688,undirected
b3_04,Q332034,undirected
b3_04,Q3992,undirected
b3_04,Q1160195,undirected
b3_04,Q17167,undirected
b3_04,Q29,undirected
b3_05,Q8409,undirected
b3_05,Q8409,undirected
b3_05,Q8409,undirected
b3_05,Q8409,undirected
b3_05,Q8409,undirected
b3_05,Q42702348,undirected
b3_05,Q213484,undirected
b3_05,Q501504,undirected
b3_05,Q768633,undirected
b3_05,Q200401,undirected
b3_05,Q179149,undirected
b3_05,Q179149,undirected
b3_05,Q37340,undirected
b3_05,Q73527,undirected
b3_05,Q3020218,undirected
b3_05,Q26846,undirected
b3_05,Q26846,undirected
b3_05,personb30501,undirected
b3_05,Q189506,undirected
b3_05,Q189506,undirected
b3_05,Q2528551,undirected
b3_05,Q868,undirected
b3_05,Q868,undirected
b3_05,Q868,undirected
b3_05,Q868,undirected
b3_05,Q37122,undirected
b3_05,Q8018,undirected
b3_05,Q8018,undirected
b3_05,Q8018,undirected
b3_05,Q53436,undirected
b3_05,Q1409,undirected
b3_05,Q162819,undirected
b3_05,Q180081,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q163079,undirected
b3_05,Q774567,undirected
b3_05,Q211411,undirected
b3_05,Q1541,undirected
b3_05,Q1541,undirected
b3_05,Q1541,undirected
b3_05,Q1541,undirected
b3_05,Q205947,undirected
b3_05,Q310149,undirected
b3_05,Q19843472,undirected
b3_05,Q950303,undirected
b3_05,Q5194501,undirected
b3_05,Q8423,undirected
b3_05,Q313286,undirected
b3_05,Q59138,undirected
b3_05,Q59138,undirected
b3_05,Q59138,undirected
b3_05,Q59138,undirected
b3_05,Q457885,undirected
b3_05,Q47130,undirected
b3_05,Q47130,undirected
b3_05,Q43499,undirected
b3_05,Q1042300,undirected
b3_05,Q8825,undirected
b3_05,Q8833,undirected
b3_05,Q8833,undirected
b3_05,Q285517,undirected
b3_05,Q1414,undirected
b3_05,Q1402,undirected
b3_05,personb30504,undirected
b3_05,Q316334,undirected
b3_05,Q26825,undirected
b3_05,Q26825,undirected
b3_05,Q26825,undirected
b3_05,Q5264,undirected
b3_05,Q6691,undirected
b3_05,Q6691,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
b3_05,Q6197,undirected
